Zip Code,Date,Total Doses - Daily,Total Doses - Cumulative,1st Dose - Daily,1st Dose - Cumulative,1st Dose - Percent Population,Vaccine Series Completed - Daily,Vaccine Series Completed - Cumulative,Vaccine Series Completed  - Percent Population,Population,ZIP Code Location,Row_ID
60661,12/24/2020,11,351,11,351,0.034,0,0,0,10354,POINT (-87.644283 41.882786),60661-20201224
60666,12/26/2020,0,0,0,0,0,0,0,0,0,POINT (-87.896371 41.979511),60666-20201226
60827,12/20/2020,0,4,0,4,0,0,0,0,28483,POINT (-87.633087 41.650765),60827-20201220
60607,01/07/2021,214,1985,92,1816,0.062,122,169,0.006,29293,POINT (-87.652727 41.876104),60607-20210107
60620,01/08/2021,83,616,56,555,0.008,27,61,0.001,67711,POINT (-87.651656 41.740873),60620-20210108
60607,02/13/2021,81,7485,43,4849,0.166,38,2636,0.09,29293,POINT (-87.652727 41.876104),60607-20210213
Unknown,12/27/2020,0,41,0,41,0,0,0,0,0,,Unknown-20201227
60827,01/06/2021,2,13,2,13,0,0,0,0,28483,POINT (-87.633087 41.650765),60827-20210106
60632,12/15/2020,0,0,0,0,0,0,0,0,89857,POINT (-87.711251 41.810038),60632-20201215
60640,01/03/2021,98,1326,98,1326,0.019,0,0,0,69363,POINT (-87.662232 41.971888),60640-20210103
60625,01/21/2021,391,3929,303,3042,0.038,88,887,0.011,79444,POINT (-87.701816 41.971155),60625-20210121
60614,12/15/2020,1,1,1,1,0,0,0,0,71954,POINT (-87.652064 41.922605),60614-20201215
60610,12/29/2020,68,779,68,779,0.019,0,0,0,40548,POINT (-87.63581 41.90455),60610-20201229
60655,01/13/2021,124,1307,105,964,0.034,19,343,0.012,28569,POINT (-87.701434 41.696456),60655-20210113
60621,01/14/2021,9,307,8,278,0.01,1,29,0.001,28018,POINT (-87.638812 41.776931),60621-20210114
60612,12/23/2020,76,488,76,488,0.014,0,0,0,33735,POINT (-87.687011 41.88004),60612-20201223
60638,12/17/2020,22,22,22,22,0,0,0,0,58669,POINT (-87.771902 41.787032),60638-20201217
60616,01/05/2021,154,1180,143,1158,0.021,11,22,0,54197,POINT (-87.629531 41.844869),60616-20210105
60619,01/30/2021,109,2885,97,2537,0.041,12,348,0.006,61207,POINT (-87.60569 41.744737),60619-20210130
60637,01/04/2021,70,780,64,769,0.016,6,11,0,47300,POINT (-87.604053 41.780991),60637-20210104
60642,12/28/2020,28,551,28,551,0.028,0,0,0,19716,POINT (-87.657821 41.899935),60642-20201228
60642,01/07/2021,90,946,24,858,0.044,66,88,0.004,19716,POINT (-87.657821 41.899935),60642-20210107
60660,01/23/2021,89,3047,77,2541,0.057,12,506,0.011,44498,POINT (-87.666362 41.991062),60660-20210123
60606,02/08/2021,9,619,8,450,0.137,1,169,0.051,3287,POINT (-87.63676 41.882634),60606-20210208
60618,01/08/2021,294,2395,96,2054,0.022,198,341,0.004,94907,POINT (-87.703343 41.946699),60618-20210108
60645,12/30/2020,152,602,152,602,0.013,0,0,0,47270,POINT (-87.695049 42.008927),60645-20201230
60632,01/05/2021,44,514,43,512,0.006,1,2,0,89857,POINT (-87.711251 41.810038),60632-20210105
60653,12/26/2020,0,169,0,169,0.005,0,0,0,33154,POINT (-87.611244 41.819261),60653-20201226
60651,01/06/2021,28,370,25,365,0.006,3,5,0,63492,POINT (-87.741017 41.901964),60651-20210106
60629,01/12/2021,103,1121,55,913,0.008,48,208,0.002,110029,POINT (-87.711565 41.777061),60629-20210112
60613,12/15/2020,0,0,0,0,0,0,0,0,50761,POINT (-87.661343 41.953742),60613-20201215
60827,01/16/2021,2,35,2,30,0.001,0,5,0,28483,POINT (-87.633087 41.650765),60827-20210116
60643,01/19/2021,127,1795,102,1452,0.03,25,343,0.007,48887,POINT (-87.662381 41.700445),60643-20210119
